report_id,timestamp,source,user_handle,state,district,latitude,longitude,text,event_type,severity,source_credibility,label_is_fake,near_dup_of
3f651461,2026-09-02 11:25:00,twitter,@user73362,Chhattisgarh,Surguja,23.15295,83.1803,Just saw flooding hit Surguja - power supply flickering in our area. #WeatherAlert #Monsoon2026 #RainAlert,flood,severe,0.51,0,
811b7f83,2026-05-28 05:07:00,citizen_app,@user85462,Rajasthan,Bikaner,28.04265,73.32643,"Update from Bikaner: a heatwave continuing, local authorities have issued an advisory. #RainAlert #Flood",heatwave,severe,0.79,0,
70c422d6,2026-06-02 17:26:00,instagram,@user71614,Rajasthan,Bikaner,28.04965,73.29716,"Bikaner traffic disrupted due to a dust storm, several vehicles stranded on the flyover. #DustStorm #Flood #RainAlert",dust_storm,moderate,0.46,0,
28ec7412,2026-09-02 05:00:00,facebook,@user16806,Odisha,Sundargarh,22.07582,83.99282,"Update from Sundargarh: flooding continuing, local authorities have issued an advisory. #RainAlert #StaySafe #Monsoon2026",flood,severe,0.55,0,
4df49cc1,2026-09-07 23:28:00,news_wire,@IMDWeather_Alt,Assam,Guwahati,26.09637,91.75203,"Heavy flooding reported in Guwahati, Assam right now. Roads getting waterlogged near main market. #RainAlert #Cyclone",flood,moderate,0.96,0,
b2a09f65,2026-09-03 20:02:00,whatsapp_forward,@DistrictAdmin_Official,Madhya Pradesh,Bhopal,23.27996,77.45736,"URGENT: dam near Bhopal about to burst, everyone evacuate NOW, forward to everyone you know #Monsoon2026",rainfall,severe,0.35,1,2c5a3344
5bbaa82c,2026-09-01 12:29:00,instagram,@user61236,Uttar Pradesh,Kanpur,26.4169,80.2898,Just saw heavy rainfall hit Kanpur - power supply flickering in our area. #Cyclone #Flood,rainfall,moderate,0.4,0,3962e94b
6c63ed24,2026-09-05 20:56:00,whatsapp_forward,@user60232,Uttarakhand,Rudraprayag,30.32106,79.00635,"Heavy heavy rainfall reported in Rudraprayag, Uttarakhand right now. Roads getting waterlogged near main market. #ColdWave #WeatherAlert",rainfall,severe,0.32,0,
dc3d009a,2026-09-03 06:11:00,instagram,@user74149,West Bengal,Howrah,22.62049,88.22898,"Heavy heavy rainfall reported in Howrah, West Bengal right now. Roads getting waterlogged near main market. #WeatherAlert",rainfall,moderate,0.36,0,
0f149fe4,2026-09-02 21:08:00,instagram,@user34422,Chhattisgarh,Surguja,23.15175,83.16144,Farmers in Surguja worried as flooding continues for the third day. #ColdWave #StaySafe,flood,severe,0.39,0,
10de5163,2026-09-04 10:40:00,instagram,@user2403,Jharkhand,Ranchi,23.355,85.33205,Farmers in Ranchi worried as heavy rainfall continues for the third day. #Cyclone #IMD,rainfall,moderate,0.39,0,
3f0648ad,2026-09-01 12:17:00,instagram,@user71798,Delhi,Karol Bagh,28.62963,77.21867,"IMD had warned about this — heavy rainfall now active over Karol Bagh, Delhi. #WeatherAlert #HeatWave",rainfall,moderate,0.37,0,d0a55886
6f707383,2026-09-05 13:04:00,instagram,@user70607,Maharashtra,Sindhudurg,16.12145,73.66632,NDRF teams reportedly moving into Sindhudurg as heavy rainfall worsens. #WeatherAlert #Cyclone #DustStorm,rainfall,moderate,0.45,0,bae38c2f
79a2faba,2026-07-16 14:14:00,facebook,@user22245,Unverified,Keonjhar,21.64957,85.56946,"Keonjhar flooded because of cloud seeding conspiracy by neighbouring country, spread the word #RainAlert",heatwave,unverified,0.06,1,
5f57f031,2026-09-03 14:42:00,twitter,@IMDWeather_Alt,West Bengal,Howrah,22.6129,88.27033,Farmers in Howrah worried as heavy rainfall continues for the third day. #StaySafe #WeatherAlert,rainfall,moderate,0.49,0,
dda172d5,2026-09-05 08:02:00,twitter,@user68302,Maharashtra,Ratnagiri,17.03831,73.30448,"Abhi Ratnagiri mein heavy rainfall shuru hua, log ghar ke andar hi hain. #IMD #RainAlert",rainfall,moderate,0.57,0,
555924aa,2026-09-06 17:26:00,whatsapp_forward,@user89225,Bihar,Muzaffarpur,26.09571,85.36257,NDRF teams reportedly moving into Muzaffarpur as heavy rainfall worsens. #Monsoon2026 #Flood #HeatWave,rainfall,moderate,0.28,0,
