bulletin_id,date,state,district,event_type,severity,note
IMD-2026-09-01-NEW,2026-09-01,Delhi,New Delhi,rainfall,moderate,heavy rain and thunderstorms with gusty winds near 40 kmph
IMD-2026-09-01-DWA,2026-09-01,Delhi,Dwarka,rainfall,moderate,heavy rain and thunderstorms with gusty winds near 40 kmph
IMD-2026-09-01-ROH,2026-09-01,Delhi,Rohini,rainfall,moderate,heavy rain and thunderstorms with gusty winds near 40 kmph
IMD-2026-09-01-KAR,2026-09-01,Delhi,Karol Bagh,rainfall,moderate,heavy rain and thunderstorms with gusty winds near 40 kmph
IMD-2026-09-01-GHA,2026-09-01,Uttar Pradesh,Ghaziabad,rainfall,moderate,heavy rain and strong winds across western and central UP
IMD-2026-09-01-MEE,2026-09-01,Uttar Pradesh,Meerut,rainfall,moderate,heavy rain and strong winds across western and central UP
IMD-2026-09-01-MOR,2026-09-01,Uttar Pradesh,Moradabad,rainfall,moderate,heavy rain and strong winds across western and central UP
IMD-2026-09-01-KAN,2026-09-01,Uttar Pradesh,Kanpur,rainfall,moderate,heavy rain and strong winds across western and central UP
IMD-2026-09-01-LUC,2026-09-01,Uttar Pradesh,Lucknow,rainfall,moderate,heavy rain and strong winds across western and central UP
IMD-2026-09-02-RAI,2026-09-02,Chhattisgarh,Raipur,flood,severe,"extremely heavy rainfall triggering flash flood warning, over 200mm in isolated pockets"
IMD-2026-09-02-RAI,2026-09-02,Chhattisgarh,Raigarh,flood,severe,"extremely heavy rainfall triggering flash flood warning, over 200mm in isolated pockets"
IMD-2026-09-02-KOR,2026-09-02,Chhattisgarh,Korba,flood,severe,"extremely heavy rainfall triggering flash flood warning, over 200mm in isolated pockets"
IMD-2026-09-02-JAS,2026-09-02,Chhattisgarh,Jashpur,flood,severe,"extremely heavy rainfall triggering flash flood warning, over 200mm in isolated pockets"
IMD-2026-09-02-BAL,2026-09-02,Chhattisgarh,Balrampur,flood,severe,"extremely heavy rainfall triggering flash flood warning, over 200mm in isolated pockets"
IMD-2026-09-02-SUR,2026-09-02,Chhattisgarh,Surguja,flood,severe,"extremely heavy rainfall triggering flash flood warning, over 200mm in isolated pockets"
IMD-2026-09-02-BAL,2026-09-02,Odisha,Balasore,flood,severe,flash flood risk from widespread heavy rain and 40-50 kmph winds
IMD-2026-09-02-MAY,2026-09-02,Odisha,Mayurbhanj,flood,severe,flash flood risk from widespread heavy rain and 40-50 kmph winds
IMD-2026-09-02-KEO,2026-09-02,Odisha,Keonjhar,flood,severe,flash flood risk from widespread heavy rain and 40-50 kmph winds
IMD-2026-09-02-SUN,2026-09-02,Odisha,Sundargarh,flood,severe,flash flood risk from widespread heavy rain and 40-50 kmph winds
IMD-2026-09-02-SAM,2026-09-02,Odisha,Sambalpur,flood,severe,flash flood risk from widespread heavy rain and 40-50 kmph winds
IMD-2026-09-03-BHO,2026-09-03,Madhya Pradesh,Bhopal,rainfall,severe,isolated extremely heavy rainfall over east Madhya Pradesh under a well-marked low
IMD-2026-09-03-JAB,2026-09-03,Madhya Pradesh,Jabalpur,rainfall,severe,isolated extremely heavy rainfall over east Madhya Pradesh under a well-marked low
IMD-2026-09-03-SAG,2026-09-03,Madhya Pradesh,Sagar,rainfall,severe,isolated extremely heavy rainfall over east Madhya Pradesh under a well-marked low
IMD-2026-09-03-REW,2026-09-03,Madhya Pradesh,Rewa,rainfall,severe,isolated extremely heavy rainfall over east Madhya Pradesh under a well-marked low
